country_code,administrative_code,name_zh,source_name,name_source
MN,capital-ulaanbaatar,乌兰巴托,Улаанбаатар,reference
MN,national-darkhan,达尔汗,Дархан,reference
MN,national-erdenet,额尔登特,Эрдэнэт,reference
MN,national-choibalsan,乔巴山,Чойбалсан,reference
MN,aimag-uliastai,乌里雅苏台城,Улиастай,reference
MN,aimag-olgii,乌列盖,Өлгий,reference
MN,aimag-moron,木伦,Мөрөн,manual
MN,aimag-tsetserleg,车车尔勒格,Цэцэрлэг,reference
MN,aimag-khovd,科布多,Ховд,reference
MN,aimag-ulaangom,乌兰固木,Улаангом,reference
MN,aimag-sukhbaatar,苏赫巴托尔,Сүхбаатар,reference
MN,aimag-bayankhongor,巴彦洪戈尔,Баянхонгор,reference
MN,aimag-chinggis,温都尔汗,Чингис,reference
MN,aimag-zuunmod,宗莫德,Зуунмод,reference
MN,aimag-baruun-urt,西乌尔特,Баруун-Урт,reference
MN,aimag-sainshand,赛音山达,Сайншанд,manual
MN,aimag-dalanzadgad,达兰扎德嘎德,Даланзадгад,reference
MN,aimag-arvaikheer,阿尔拜赫雷,Арвайхээр,manual
MN,aimag-mandalgovi,曼达勒戈壁,Мандалговь,reference
MN,aimag-altai,阿尔泰,Алтай,reference
MN,aimag-bulgan,布尔干,Булган,reference
MN,aimag-zuunkharaa,宗哈拉,Зүүнхараа,manual
MN,aimag-tosontsengel,托孙臣格勒,Тосонцэнгэл,manual
MN,aimag-choir,乔伊尔,Чойр,reference
PH,0102805000,巴塔克,Batac,phonetic_translation
PH,0102812000,佬沃,Laoag,reference
PH,0102906000,坎东,Candon,reference
PH,0102934000,美岸,Vigan,reference
PH,0103314000,圣费尔南多,San Fernando,reference
PH,0105503000,阿拉米诺斯,Alaminos,reference
PH,0105518000,达古潘,Dagupan,reference
PH,0105532000,桑托斯·卡洛斯,San Carlos,phonetic_translation
PH,0105546000,乌达内塔,Urdaneta,reference
PH,0201529000,土格加劳,Tuguegarao City,reference
PH,0203108000,卡亚扬,Cauayan,phonetic_translation
PH,0203114000,伊拉甘,Ilagan,reference
PH,0203135000,圣地亚哥,Santiago,phonetic_translation
PH,0300803000,巴兰加,Balanga,reference
PH,0301403000,巴里瓦格,Baliwag,phonetic_translation
PH,0301410000,马洛洛斯,Malolos,reference
PH,0301412000,梅卡瓦延,Meycauayan,reference
PH,0301420000,圣何塞-德尔蒙特,San Jose Del Monte,reference
PH,0304903000,甲万那端,Cabanatuan,reference
PH,0304908000,加潘,Gapan,reference
PH,0304917000,穆尼奥斯科技城,Science City of Muñoz,phonetic_translation
PH,0304919000,帕拉扬,Palayan,reference
PH,0304926000,圣荷西,San Jose City,reference
PH,0305409000,马巴拉卡特,Mabalacat City,reference
PH,0305416000,圣费尔南多,San Fernando,reference
PH,0306916000,打拉,Tarlac,reference
PH,0330100000,安吉尔,Angeles,phonetic_translation
PH,0331400000,奥隆阿波,Olongapo,reference
PH,0401005000,巴卡斯,Batangas City,phonetic_translation
PH,0401007000,卡拉卡,Calaca,phonetic_translation
PH,0401014000,利巴,Lipa,reference
PH,0401028000,圣托马斯,Sto. Tomas,phonetic_translation
PH,0401031000,塔纳万,Tanauan,reference
PH,0402103000,巴科奥,Bacoor,phonetic_translation
PH,0402104000,卡尔莫纳,Carmona,phonetic_translation
PH,0402105000,甲米地,Cavite,reference
PH,0402106000,达斯马里尼亚斯,Dasmariñas,reference
PH,0402108000,将军特里亚斯,General Trias,reference
PH,0402109000,伊穆斯,Imus,reference
PH,0402119000,塔盖泰,Tagaytay,reference
PH,0402122000,十三,Trece Martires,phonetic_translation
PH,0403403000,比尼扬 (菲律宾),Biñan,reference
PH,0403404000,卡布尧,Cabuyao,reference
PH,0403405000,卡兰巴,Calamba,reference
PH,0403424000,圣巴勃罗,San Pablo,reference
PH,0403425000,圣佩德罗,San Pedro,reference
PH,0403428000,圣罗莎,Santa Rosa,reference
PH,0405647000,塔亚巴斯,Tayabas,phonetic_translation
PH,0405802000,安蒂波洛,Antipolo,reference
PH,0431200000,卢塞纳,Lucena,reference
PH,0500506000,黎牙实比市,Legazpi,reference
PH,0500508000,里高,Ligao,reference
PH,0500517000,塔瓦科,Tabaco,reference
PH,0501716000,阿里卡,Iriga,reference
PH,0501724000,那牙,Naga,reference
PH,0504111000,马斯巴特,Masbate,phonetic_translation
PH,0506216000,索科贡市,Sorsogon,reference
PH,0601914000,罗克斯,Roxas,phonetic_translation
PH,0603035000,帕西,Passi,phonetic_translation
PH,0631000000,伊洛伊洛市,Iloilo,reference
PH,0701242000,塔格巴兰,Tagbilaran,phonetic_translation
PH,0702211000,布哥,Bogo,phonetic_translation
PH,0702214000,卡卡尔,Carcar,phonetic_translation
PH,0702223000,达瑙,Danao City,phonetic_translation
PH,0702234000,那牙,Naga,reference
PH,0702250000,塔里萨伊,Talisay,reference
PH,0702251000,托莱多,Toledo,reference
PH,0730600000,宿务,Cebu,phonetic_translation
PH,0731100000,拉普拉普市,Lapu-Lapu,reference
PH,0731300000,曼达韦市,Mandaue,reference
PH,0802604000,博龙岸,Borongan,reference
PH,0803708000,湾湾,Baybay,reference
PH,0803738000,奥尔莫克,Ormoc City,reference
PH,0806003000,甲描育,Calbayog,reference
PH,0806005000,卡巴洛干市,Catbalogan,reference
PH,0806407000,马萨因,Maasin,phonetic_translation
PH,0831600000,塔克洛班,Tacloban,reference
PH,0907201000,达皮丹,Dapitan,reference
PH,0907202000,第波罗,Dipolog,reference
PH,0907322000,帕贾迪恩,Pagadian,phonetic_translation
PH,0931700000,三宝颜,Zamboanga,reference
PH,0990101000,伊莎贝拉,Isabela,reference
PH,1001312000,马利巴亚,Malaybalay,phonetic_translation
PH,1001321000,巴伦西亚城,Valencia,reference
PH,1004209000,奥罗基耶塔,Oroquieta,reference
PH,1004210000,奥三棉示,Ozamiz,reference
PH,1004215000,塔格布,Tangub,phonetic_translation
PH,1004307000,萨尔瓦多,El Salvador,reference
PH,1004308000,欣奥奥格,Gingoog,reference
PH,1030500000,卡加延德奥罗,Cagayan De Oro,reference
PH,1030900000,伊利甘,Iligan,reference
PH,1102315000,巴拿波,Panabo,reference
PH,1102317000,萨马尔,Island Garden City of Samal,reference
PH,1102319000,塔古姆,Tagum,reference
PH,1102403000,狄高斯,Digos,reference
PH,1102509000,马蒂,Mati,reference
PH,1130700000,达沃市,Davao,reference
PH,1204704000,基达帕万,Kidapawan,reference
PH,1206306000,科罗纳达尔,Koronadal,reference
PH,1206511000,塔酷榕市,Tacurong,reference
PH,1230800000,桑托斯将军城,General Santos,reference
PH,1380100000,加洛坎,Caloocan,reference
PH,1380200000,拉斯比尼亚,Las Piñas,phonetic_translation
PH,1380300000,马卡蒂,Makati,reference
PH,1380400000,马拉邦,Malabon,phonetic_translation
PH,1380500000,曼达卢永市,Mandaluyong,reference
PH,1380600000,马尼拉,Manila,reference
PH,1380700000,马利金纳,Marikina,reference
PH,1380800000,蒙廷卢帕,Muntinlupa,phonetic_translation
PH,1380900000,纳沃塔斯,Navotas,reference
PH,1381000000,帕拉纳科,Parañaque,phonetic_translation
PH,1381100000,帕赛,Pasay City,phonetic_translation
PH,1381200000,帕西格,Pasig,reference
PH,1381300000,奎松市,Quezon City,reference
PH,1381400000,仙范市,San Juan,reference
PH,1381500000,达义市,Taguig,reference
PH,1381600000,瓦伦苏埃拉,Valenzuela,phonetic_translation
PH,1403213000,塔布克,Tabuk,phonetic_translation
PH,1430300000,碧瑶,Baguio,reference
PH,1600203000,卡巴达巴兰,Cabadbaran,phonetic_translation
PH,1600301000,巴尤甘,Bayugan,phonetic_translation
PH,1606724000,苏里高,Surigao,reference
PH,1606803000,比斯利格市,Bislig,reference
PH,1606819000,丹达,Tandag,reference
PH,1630400000,武端市,Butuan,reference
PH,1705205000,卡拉潘,Calapan,reference
PH,1731500000,普林塞萨港,Puerto Princesa,reference
PH,1804502000,巴哥,Bago,reference
PH,1804504000,加迪兹,Cadiz,phonetic_translation
PH,1804509000,埃斯卡兰特,Escalante,reference
PH,1804510000,海马马鞍,Himamaylan,reference
PH,1804515000,卡班卡兰,Kabankalan,reference
PH,1804516000,拉卡洛塔,La Carlota,reference
PH,1804523000,萨加,Sagay,reference
PH,1804524000,圣卡洛斯,San Carlos,reference
PH,1804526000,锡莱市,Silay,reference
PH,1804527000,斯帕莱,Sipalay,reference
PH,1804528000,塔里萨伊,Talisay,reference
PH,1804531000,维多利亚,Victorias,reference
PH,1804604000,拜斯,Bais,reference
PH,1804606000,巴湾湾,Bayawan,reference
PH,1804608000,坎拉翁,Canlaon,reference
PH,1804610000,朗芒芽地,Dumaguete,reference
PH,1804611000,吉胡尔岸,Guihulngan,reference
PH,1804621000,塔尼贾,Tanjay,phonetic_translation
PH,1830200000,巴科洛德,Bacolod,reference
PH,1900702000,拉米坦市,Lamitan,reference
PH,1903617000,马拉维,Marawi,reference
PH,1908703000,库塔布达罗,Cotabato,phonetic_translation
ID,11.71,班达亚齐,Banda Aceh,reference
ID,11.72,沙璜,Sabang,reference
ID,11.73,洛坤,Lhokseumawe,phonetic_translation
ID,11.74,冷沙,Langsa,reference
ID,11.75,苏卜乌萨拉姆,Subulussalam,phonetic_translation
ID,12.71,棉兰,Medan,reference
ID,12.72,先达,Pematangsiantar,reference
ID,12.73,实武牙,Sibolga,reference
ID,12.74,丹戎巴来,Tanjungbalai,reference
ID,12.75,民礼,Binjai,reference
ID,12.76,特比亭高,Tebing Tinggi,phonetic_translation
ID,12.77,帕德朗西杜曼潘,Padangsidimpuan,phonetic_translation
ID,12.78,古农西托利,Gunungsitoli,reference
ID,13.71,巴东,Padang,reference
ID,13.72,索洛克,Solok,reference
ID,13.73,沙哇伦多,Sawahlunto,reference
ID,13.74,巴当班让,Padang Panjang,reference
ID,13.75,武吉丁宜,Bukittinggi,reference
ID,13.76,巴爷公务,Payakumbuh,reference
ID,13.77,帕里曼,Pariaman,phonetic_translation
ID,14.71,北干巴鲁,Pekanbaru,reference
ID,14.72,杜迈,Dumai,reference
ID,15.71,占碑,Jambi,reference
ID,15.72,双溪珀努,Sungai Penuh,reference
ID,16.71,巨港,Palembang,reference
ID,16.72,帕加拉兰,Pagar Alam,reference
ID,16.73,卢布林高,Lubuk Linggau,reference
ID,16.74,普拉布穆利,Prabumulih,reference
ID,17.71,明古鲁,Bengkulu,reference
ID,18.71,楠榜港,Bandar Lampung,reference
ID,18.72,梅托,Metro,phonetic_translation
ID,19.71,邦加槟港,Pangkal Pinang,reference
ID,21.71,巴塔麻,Batam,phonetic_translation
ID,21.72,廖都,Tanjung Pinang,reference
ID,31.71,中雅加达,Jakarta Pusat,reference
ID,31.72,北雅加达,Jakarta Utara,reference
ID,31.73,西雅加达,Jakarta Barat,reference
ID,31.74,雅加达南区,Jakarta Selatan,reference
ID,31.75,东雅加达,Jakarta Timur,reference
ID,32.71,茂物,Bogor,reference
ID,32.72,苏加武眉,Sukabumi,reference
ID,32.73,万隆,Bandung,reference
ID,32.74,井里汶,Cirebon,reference
ID,32.75,勿加泗,Bekasi,reference
ID,32.76,德博市,Depok,reference
ID,32.77,市米哈,Cimahi,phonetic_translation
ID,32.78,塔西克玛拉雅,Tasikmalaya,phonetic_translation
ID,32.79,班,Banjar,phonetic_translation
ID,33.71,马格朗,Magelang,reference
ID,33.72,梭罗,Surakarta,reference
ID,33.73,萨拉蒂加,Salatiga,phonetic_translation
ID,33.74,三宝垄,Semarang,reference
ID,33.75,北加浪岸,Pekalongan,reference
ID,33.76,直葛,Tegal,reference
ID,34.71,日惹,Yogyakarta,reference
ID,35.71,谏义里,Kediri,reference
ID,35.72,勿里达,Blitar,reference
ID,35.73,玛琅,Malang,reference
ID,35.74,庞越,Probolinggo,reference
ID,35.75,岩望,Pasuruan,reference
ID,35.76,莫佐克托,Mojokerto,reference
ID,35.77,茉莉芬,Madiun,reference
ID,35.78,泗水,Surabaya,reference
ID,35.79,巴都,Batu,reference
ID,36.71,丹格朗,Tangerang,reference
ID,36.72,芝勒贡,Cilegon,reference
ID,36.73,西冷,Serang,reference
ID,36.74,南唐格朗,Tangerang Selatan,reference
ID,51.71,登巴萨,Denpasar,reference
ID,52.71,马塔兰,Mataram,reference
ID,52.72,比马,Bima,reference
ID,53.71,古邦,Kupang,reference
