batch,geonameid,geonames_name,feature_code,official_admin_name,target_page,selection_rationale
CN-cities15000-072,1798425,Puyang,PPLA3,浙江省,destinations/中国/浙江省/浦江县.md,浦阳街道是浦江县城入口且上山考古仙华山郑宅与传统村落形成独立多日旅行结构
CN-cities15000-072,1802875,Guankou,PPLA3,湖南省,destinations/中国/湖南省/浏阳市.md,关口街道属于浏阳主城且城市人文红色旧址大围山与花炮文化需要分线组织
CN-cities15000-072,1808316,Heshan,PPLA2,湖南省,destinations/中国/湖南省/益阳市.md,赫山固定点位于益阳主城且资江古巷会龙山清溪村与古窑形成完整旅行结构
CN-cities15000-072,1815463,Changzhi,PPL,山西省,destinations/中国/山西省/垣曲县.md,固定坐标对应垣曲县长直乡且历山峡谷黄河湿地与沿黄公路形成独立县域目的地
CN-cities15000-072,1796989,Changsha,PPLA3,广东省,destinations/中国/广东省/开平市.md,长沙街道是开平驻地且世界遗产碉楼侨乡村落赤坎与华侨史构成多日旅行体系
CN-cities15000-072,13608003,Chongming,PPLA3,上海市,destinations/中国/上海市/崇明区.md,崇明三岛的森林湿地学宫湖泊轮渡与住宿交通需要独立指南
CN-cities15000-072,1802204,Luancheng,PPLA3,河北省,destinations/中国/河北省/栾城区.md,栾城主城的苏氏文化古桥公园非遗与乡村活动形成一至两日近郊旅行结构
CN-cities15000-072,9931406,Jianshui,PPL,云南省,destinations/中国/云南省/建水县.md,建水古城米轨团山紫陶与燕子洞构成独立多日县域目的地
CN-cities15000-072,1913154,Tanzhou,PPLA4,广东省,destinations/中国/广东省/坦洲镇.md,坦洲与中山主城相距明显且水乡咸水歌农业节庆跨市交通形成独立旅行尺度
CN-cities15000-072,1814544,Dachang,PPL,上海市,destinations/中国/上海市/宝山区.md,大场镇所在宝山区的吴淞滨江工业文博顾村罗店与多住宿片区构成独立旅行结构
